date_time,value
2018-02-19 12,156.0
2018-02-19 13,186.0
2018-02-19 14,209.0
2018-02-19 15,259.0
2018-02-19 16,213.0
2018-02-19 17,173.0
2018-02-19 18,129.0
2018-02-19 19,118.0
2018-02-19 20,92.0
2018-02-19 21,60.0
2018-02-19 22,38.0
2018-02-19 23,19.0
2018-02-20 0,13.0
2018-02-20 1,11.0
2018-02-20 2,12.0
2018-02-20 3,11.0
2018-02-20 4,7.0
2018-02-20 5,9.0
2018-02-20 6,12.0
2018-02-20 7,39.0
2018-02-20 8,81.0
2018-02-20 9,119.0
2018-02-20 10,190.0
2018-02-20 11,184.0
2018-02-20 12,207.0
2018-02-20 13,221.0
2018-02-20 14,209.0
2018-02-20 15,190.0
2018-02-20 16,183.0
2018-02-20 17,166.0
2018-02-20 18,141.0
2018-02-20 19,135.0
2018-02-20 20,99.0
2018-02-20 21,83.0
2018-02-20 22,25.0
2018-02-20 23,15.0
2018-02-21 0,10.0
2018-02-21 1,10.0
2018-02-21 2,11.0
2018-02-21 3,7.0
2018-02-21 4,11.0
2018-02-21 5,11.0
2018-02-21 6,10.0
2018-02-21 7,30.0
2018-02-21 8,61.0
2018-02-21 9,129.0
2018-02-21 10,164.0
2018-02-21 11,199.0
2018-02-21 12,173.0
2018-02-21 13,177.0
2018-02-21 14,203.0
2018-02-21 15,237.0
2018-02-21 16,197.0
2018-02-21 17,177.0
