,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-06-18,20.0,19.0,21.0,23.0,25.0,21.0,19.0,62.0,100.0,123.0,148.0,167.0,148.0,170.0,174.0,187.0,155.0,146.0,141.0,106.0,86.0,72.0,65.0,54.0
2018-06-19,19.0,20.0,18.0,16.0,16.0,24.0,24.0,49.0,105.0,139.0,156.0,165.0,176.0,185.0,185.0,191.0,201.0,238.0,162.0,106.0,103.0,97.0,88.0,49.0
2018-06-20,24.0,21.0,16.0,18.0,16.0,17.0,22.0,50.0,111.0,130.0,260.0,266.0,272.0,274.0,299.0,285.0,279.0,258.0,133.0,105.0,83.0,56.0,71.0,44.0
2018-06-21,25.0,23.0,17.0,22.0,20.0,19.0,22.0,54.0,110.0,154.0,177.0,188.0,184.0,174.0,173.0,198.0,175.0,155.0,182.0,93.0,73.0,61.0,78.0,34.0
2018-06-22,21.0,23.0,20.0,20.0,21.0,19.0,25.0,65.0,117.0,129.0,173.0,182.0,167.0,180.0,180.0,185.0,183.0,155.0,110.0,86.0,63.0,59.0,81.0,36.0
2018-06-23,29.0,25.0,23.0,21.0,18.0,21.0,24.0,30.0,43.0,66.0,71.0,93.0,93.0,84.0,83.0,86.0,87.0,76.0,67.0,58.0,38.0,55.0,40.0,24.0
2018-06-24,22.0,19.0,19.0,19.0,17.0,16.0,20.0,27.0,32.0,35.0,34.0,32.0,43.0,47.0,45.0,48.0,56.0,45.0,43.0,32.0,28.0,26.0,31.0,26.0
2018-06-25,19.0,18.0,17.0,17.0,16.0,17.0,20.0,55.0,116.0,116.0,164.0,260.0,272.0,297.0,305.0,289.0,288.0,255.0,163.0,112.0,81.0,64.0,56.0,34.0
2018-06-26,20.0,22.0,19.0,20.0,18.0,16.0,18.0,49.0,117.0,137.0,157.0,157.0,156.0,150.0,171.0,180.0,158.0,151.0,130.0,88.0,57.0,57.0,56.0,36.0
2018-06-27,26.0,19.0,20.0,22.0,18.0,20.0,24.0,53.0,109.0,124.0,136.0,386.0,368.0,165.0,169.0,187.0,162.0,216.0,237.0,209.0,80.0,65.0,48.0,35.0
2018-06-28,28.0,22.0,26.0,28.0,30.0,24.0,29.0,54.0,114.0,127.0,140.0,159.0,171.0,178.0,172.0,193.0,141.0,166.0,142.0,104.0,69.0,71.0,77.0,31.0
2018-06-29,21.0,23.0,17.0,23.0,18.0,17.0,20.0,47.0,86.0,124.0,127.0,156.0,138.0,136.0,161.0,153.0,143.0,147.0,106.0,88.0,58.0,47.0,39.0,30.0
2018-06-30,24,22,21,20,23,22,21,41,52,50,49,62,65,70,74,71,76,76,71,57,49,59,132,21
2018-07-01,20.0,21.0,18.0,19.0,16.0,15.0,20.0,22.0,34.0,35.0,44.0,40.0,41.0,56.0,51.0,53.0,41.0,43.0,40.0,33.0,36.0,35.0,29.0,23.0
